pregunta,respuesta_1,respuesta_2,respuesta_2,respuesta_3,respuesta_4,respuesta_correcta
¿Qué escritora argentina ganó el Premio Cervantes en 2018?,Silvina Ocampo,María Elena Walsh,María Teresa Andruetto,Ida Vitale,3
¿Cuál es el símbolo químico del oro?,Au,Ag,O,Gd,1
¿Cuál es el océano que baña la costa este de Argentina?,Océano Atlántico,Océano Pacífico,Mar Caribe,Mar Mediterráneo,1
¿Qué científico argentino ganó el Premio Nobel en 1947?,Luis Leloir,César Milstein,Bernardo Houssay,René Favaloro,3
¿Cuál es la capital de la provincia de Córdoba?,Río Cuarto,Córdoba,Carlos Paz,Villa María,2
¿Qué deporte practica la selección conocida como 'Los Pumas'?,Fútbol,Hockey,Rugby,Básquet,3
¿Qué actriz protagonizó la película 'La historia oficial'?,Norma Aleandro,Graciela Borges,Soledad Silveyra,Cecilia Roth,1
¿Qué provincia argentina es conocida por sus viñedos?,Salta,Mendoza,Jujuy,La Pampa,2
¿Qué famoso escritor argentino escribió 'Fervor de Buenos Aires'?,Jorge Luis Borges,Roberto Arlt,Ernesto Sabato,Manuel Puig,1
¿Cuál es el tren turístico que recorre la Patagonia?,Tren del Fin del Mundo,Tren de las Sierras,Tren Patagónico,Tren de la Quebrada,3
¿Qué animal es símbolo de la fauna patagónica?,Yacaré,Puma,Guanaco,Tucán,3
¿Qué ciudad argentina es famosa por su Fiesta Nacional de la Vendimia?,San Juan,Mendoza,Salta,Tucumán,2
¿Qué importante científico desarrolló el bypass coronario?,Luis Leloir,Bernardo Houssay,César Milstein,René Favaloro,4
¿Qué provincia limita con Bolivia y Paraguay?,Salta,Jujuy,Formosa,Chaco,3
¿Qué jugador argentino ganó 7 Balones de Oro?,Diego Maradona,Lionel Messi,Alfredo Di Stéfano,Mario Kempes,2
¿Qué ciudad fue sede de los Juegos Olímpicos de la Juventud 2018?,La Plata,Rosario,Buenos Aires,Córdoba,3
¿Qué cadena montañosa recorre el oeste argentino?,Los Pirineos,Los Alpes,Los Andes,La Sierra de Córdoba,3
¿Qué festividad se celebra el 25 de mayo en Argentina?,Día de la Independencia,Día de la Revolución de Mayo,Día de la Bandera,Día del Trabajador,2
¿Qué actor protagonizó 'El secreto de sus ojos'?,Leonardo Sbaraglia,Guillermo Francella,Ricardo Darín,Pablo Rago,3
¿Qué provincia es conocida por sus empanadas y la Casa Histórica?,Salta,Catamarca,Tucumán,La Rioja,3
¿Cuál es la ciudad más poblada del país?,Rosario,Buenos Aires,Córdoba,La Plata,2
¿Qué músico argentino compuso 'Canción Animal'?,Fito Páez,Gustavo Cerati,Charly García,Luis Alberto Spinetta,2
¿En qué provincia se encuentran las Ruinas de Quilmes?,Tucumán,Catamarca,Salta,Santiago del Estero,1
¿Qué periodista y conductor fue símbolo de la TV argentina y falleció en 2019?,Marcelo Tinelli,Chiche Gelblung,Juan Alberto Badía,Marcelo Zlotogwiazda,4
¿Qué artista argentino pintó 'La canción del pueblo',Antonio Berni,Xul Solar,Benito Quinquela Martín,Eduardo Sívori,1
¿Qué nombre recibe la región noreste de Argentina?,NOA,NEA,Pampa Húmeda,Patagonia,2
